CAMPAIGN_ID,CAMPAIGN_NAME,START_DT,TAGLINE,REGION,BUDGET,SPEND,CLICKS,CONVERSIONS
EC18Q4-EMEA,Holiday Fit for Pets,2018-11-15,"Holiday campaign for EMEA",EMEA,90000,70000,12000,2400
EC18Q4-NA,Holiday Fit for Pets,2018-11-15,"Holiday campaign for NA",North America,110000,85000,15000,3000
EC18Q4-APAC,Holiday Fit for Pets,2018-11-15,"Holiday campaign for APAC",Asia Pacific,80000,60000,9000,1800
EC19Q4-EMEA,Holiday Fit for Pets,2019-11-15,"Holiday campaign for EMEA",EMEA,95000,80000,13000,2600
EC19Q4-NA,Holiday Fit for Pets,2019-11-15,"Holiday campaign for NA",North America,115000,90000,16000,3200
EC19Q4-APAC,Holiday Fit for Pets,2019-11-15,"Holiday campaign for APAC",Asia Pacific,85000,65000,9500,1900
EC20Q4-EMEA,Holiday Fit for Pets,2020-11-15,"Holiday campaign for EMEA",EMEA,98000,85000,12500,2500
EC20Q4-NA,Holiday Fit for Pets,2020-11-15,"Holiday campaign for NA",North America,118000,95000,16500,3300
EC20Q4-APAC,Holiday Fit for Pets,2020-11-15,"Holiday campaign for APAC",Asia Pacific,88000,70000,10000,2000
EC21Q4-EMEA,Holiday Fit for Pets,2021-11-15,"Holiday campaign for EMEA",EMEA,100000,90000,13500,2700
EC21Q4-NA,Holiday Fit for Pets,2021-11-15,"Holiday campaign for NA",North America,120000,100000,17000,3400
EC21Q4-APAC,Holiday Fit for Pets,2021-11-15,"Holiday campaign for APAC",Asia Pacific,90000,72000,10500,2100
EC22Q4-EMEA,Holiday Fit for Pets,2022-11-15,"Holiday campaign for EMEA",EMEA,102000,95000,14000,2800
EC22Q4-NA,Holiday Fit for Pets,2022-11-15,"Holiday campaign for NA",North America,125000,105000,17500,3500
EC22Q4-APAC,Holiday Fit for Pets,2022-11-15,"Holiday campaign for APAC",Asia Pacific,92000,74000,11000,2200
EC23Q4-EMEA,Holiday Fit for Pets,2023-11-15,"Holiday campaign for EMEA",EMEA,105000,100000,14500,2900
EC23Q4-NA,Holiday Fit for Pets,2023-11-15,"Holiday campaign for NA",North America,128000,108000,18000,3600
EC23Q4-APAC,Holiday Fit for Pets,2023-11-15,"Holiday campaign for APAC",Asia Pacific,95000,76000,11200,2240
EC24Q4-EMEA,Holiday Fit for Pets,2024-11-15,"Holiday campaign for EMEA (increased spend)",EMEA,150000,140000,16000,3200
EC24Q4-NA,Holiday Fit for Pets,2024-11-15,"Holiday campaign for NA",North America,130000,110000,18500,3700
EC24Q4-APAC,Holiday Fit for Pets,2024-11-15,"Holiday campaign for APAC",Asia Pacific,98000,78000,11500,2300
EC25Q4-EMEA,Holiday Fit for Pets,2025-11-15,"Holiday campaign for EMEA",EMEA,110000,110000,17000,3400
EC25Q4-NA,Holiday Fit for Pets,2025-11-15,"Holiday campaign for NA",North America,135000,115000,19000,3800
EC25Q4-APAC,Holiday Fit for Pets,2025-11-15,"Holiday campaign for APAC",Asia Pacific,100000,80000,11800,2360
