ticket_id,device_id,lot_number,region,category,priority,status,created_date,resolved_date,description
TKT-001,SC-2024-341-001,LOT341,EMEA,battery,high,resolved,2024-10-05,2024-10-08,Battery draining within 4 hours of full charge
TKT-002,SC-2024-341-002,LOT341,EMEA,battery,high,resolved,2024-10-06,2024-10-10,Device shutting down unexpectedly at 30% battery
TKT-003,SC-2024-341-003,LOT341,EMEA,connectivity,medium,resolved,2024-10-07,2024-10-09,Bluetooth disconnecting frequently from app
TKT-004,SC-2024-341-004,LOT341,EMEA,battery,critical,open,2024-10-08,,Device not charging at all
TKT-005,SC-2024-341-005,LOT341,EMEA,durability,medium,resolved,2024-10-09,2024-10-12,Collar clasp broke after 2 weeks
TKT-006,SC-2024-341-010,LOT341,EMEA,battery,high,resolved,2024-10-10,2024-10-14,Battery life decreased significantly after update
TKT-007,SC-2024-341-020,LOT341,EMEA,connectivity,low,resolved,2024-10-11,2024-10-13,GPS accuracy issues in urban areas
TKT-008,SC-2024-341-050,LOT341,EMEA,battery,high,open,2024-10-12,,Rapid battery drain in cold weather
TKT-009,SC-2024-341-100,LOT341,EMEA,durability,medium,resolved,2024-10-13,2024-10-16,Water damage despite IP67 rating
TKT-010,SC-2024-341-200,LOT341,EMEA,battery,critical,open,2024-10-14,,Device overheating during charging
TKT-011,SC-2024-340-001,LOT340,Americas,connectivity,low,resolved,2024-10-05,2024-10-06,Minor sync delays with mobile app
TKT-012,SC-2024-340-002,LOT340,Americas,other,low,resolved,2024-10-06,2024-10-07,Question about activity tracking accuracy
TKT-013,SC-2024-340-003,LOT340,Americas,connectivity,medium,resolved,2024-10-08,2024-10-10,App crashes when viewing historical data
TKT-014,SC-2024-340-004,LOT340,Americas,other,low,resolved,2024-10-10,2024-10-11,Feature request for sleep tracking
TKT-015,SC-2024-340-005,LOT340,Americas,durability,low,resolved,2024-10-12,2024-10-13,Strap color fading slightly
TKT-016,SC-2024-339-001,LOT339,APAC,connectivity,medium,resolved,2024-10-05,2024-10-08,WiFi sync issues in certain locations
