DATE,REGION,PRODUCT,CUSTOMER_SEGMENT,SALES_CHANNEL,FORECAST_SALES,ACTUAL_SALES,VARIANCE,PCT_OF_FORECAST,INVENTORY_UNITS_AVAILABLE,MARKETING_ENGAGEMENT_SCORE,CUSTOMER_SATISFACTION,REPEAT_PURCHASE_RATE,AVERAGE_ORDER_VALUE,CUSTOMER_LIFETIME_VALUE
2024-01-15,North America,PetTracker,Premium,Direct Website,150,142,-8,94.7,89,78,4.7,0.67,189,847
2024-01-15,North America,PetTracker,Standard,Retail Partner,120,118,-2,98.3,67,72,4.5,0.58,165,623
2024-01-15,North America,HealthMonitor,Premium,Veterinary Clinic,80,85,5,106.3,45,81,4.8,0.72,245,1120
2024-01-15,North America,HealthMonitor,Standard,Direct Website,95,88,-7,92.6,52,75,4.4,0.61,198,789
2024-01-15,North America,SmartCollar,Premium,Direct Website,60,58,-2,96.7,38,68,4.6,0.64,178,654
2024-01-15,Europe,PetTracker,Premium,Direct Website,90,87,-3,96.7,54,76,4.6,0.65,175,732
2024-01-15,Europe,PetTracker,Standard,Retail Partner,75,72,-3,96.0,43,70,4.3,0.55,152,598
2024-01-15,Europe,HealthMonitor,Premium,Veterinary Clinic,50,53,3,106.0,32,79,4.7,0.69,230,1056
2024-01-15,Europe,HealthMonitor,Standard,Direct Website,65,61,-4,93.8,37,73,4.2,0.58,185,721
2024-01-15,Europe,SmartCollar,Premium,Direct Website,40,38,-2,95.0,25,65,4.4,0.61,165,612
2024-01-15,Asia Pacific,PetTracker,Premium,Direct Website,45,48,3,106.7,29,74,4.5,0.63,168,698
2024-01-15,Asia Pacific,PetTracker,Standard,Retail Partner,35,33,-2,94.3,21,68,4.1,0.52,145,567
2024-01-15,Asia Pacific,HealthMonitor,Premium,Veterinary Clinic,25,27,2,108.0,18,77,4.6,0.67,220,1023
2024-01-15,Asia Pacific,HealthMonitor,Standard,Direct Website,30,28,-2,93.3,19,71,4.0,0.55,175,689
2024-01-15,Asia Pacific,SmartCollar,Premium,Direct Website,20,19,-1,95.0,13,62,4.3,0.59,155,578
2024-02-15,North America,PetTracker,Premium,Direct Website,160,168,8,105.0,95,82,4.8,0.69,195,892
2024-02-15,North America,PetTracker,Standard,Retail Partner,125,132,7,105.6,71,75,4.6,0.61,172,678
2024-02-15,North America,HealthMonitor,Premium,Veterinary Clinic,85,92,7,108.2,48,84,4.9,0.75,252,1189
2024-02-15,North America,HealthMonitor,Standard,Direct Website,100,108,8,108.0,55,78,4.5,0.64,205,823
2024-02-15,North America,SmartCollar,Premium,Direct Website,65,62,-3,95.4,41,71,4.7,0.67,185,689
2024-02-15,Europe,PetTracker,Premium,Direct Website,95,102,7,107.4,57,79,4.7,0.68,182,768
2024-02-15,Europe,PetTracker,Standard,Retail Partner,80,85,5,106.3,45,73,4.4,0.58,158,634
2024-02-15,Europe,HealthMonitor,Premium,Veterinary Clinic,55,59,4,107.3,35,82,4.8,0.72,238,1098
2024-02-15,Europe,HealthMonitor,Standard,Direct Website,70,75,5,107.1,39,76,4.3,0.61,192,756
2024-02-15,Europe,SmartCollar,Premium,Direct Website,45,43,-2,95.6,28,68,4.5,0.64,172,647
2024-02-15,Asia Pacific,PetTracker,Premium,Direct Website,50,54,4,108.0,31,77,4.6,0.66,175,728
2024-02-15,Asia Pacific,PetTracker,Standard,Retail Partner,40,42,2,105.0,23,71,4.2,0.55,152,598
2024-02-15,Asia Pacific,HealthMonitor,Premium,Veterinary Clinic,30,33,3,110.0,20,80,4.7,0.70,228,1067
2024-02-15,Asia Pacific,HealthMonitor,Standard,Direct Website,35,37,2,105.7,21,74,4.1,0.58,182,715
2024-02-15,Asia Pacific,SmartCollar,Premium,Direct Website,25,24,-1,96.0,15,65,4.4,0.62,162,605
2024-03-15,North America,PetTracker,Premium,Direct Website,170,185,15,108.8,102,85,4.9,0.71,202,945
2024-03-15,North America,PetTracker,Standard,Retail Partner,130,145,15,111.5,76,78,4.7,0.64,178,712
2024-03-15,North America,HealthMonitor,Premium,Veterinary Clinic,90,102,12,113.3,51,87,5.0,0.78,265,1245
2024-03-15,North America,HealthMonitor,Standard,Direct Website,105,118,13,112.4,59,81,4.6,0.67,212,867
