feedback_id,region,feature_tested,rating,feedback_text,tester_type,submission_date,device_version,lot_number
BF-001,Americas,extended_battery,5,Battery life is incredible - lasting 14 days on single charge. Huge improvement over V1.,external,2024-11-01,V2-PROTO-A,LOT350
BF-002,Americas,extended_battery,5,Finally a pet collar that doesn't need constant charging. Very impressed.,external,2024-11-02,V2-PROTO-A,LOT350
BF-003,Americas,moisture_resistance,5,Took my dog swimming and the collar worked perfectly. IP68 rating is legit.,external,2024-11-03,V2-PROTO-A,LOT350
BF-004,Americas,gps_accuracy,4,GPS tracking is much more accurate than V1. Only minor drift in dense urban areas.,external,2024-11-04,V2-PROTO-A,LOT350
BF-005,Americas,app_redesign,5,New app interface is beautiful and intuitive. Love the dashboard widgets.,external,2024-11-05,V2-PROTO-A,LOT350
BF-006,Americas,health_monitoring,4,Heart rate monitoring seems accurate. Would like to see sleep tracking improved.,external,2024-11-06,V2-PROTO-A,LOT350
BF-007,Americas,extended_battery,5,Two weeks without charging - this is a game changer for pet owners.,internal,2024-11-07,V2-PROTO-A,LOT350
BF-008,Americas,moisture_resistance,5,Submerged in pool for 30 minutes during testing - zero issues.,internal,2024-11-08,V2-PROTO-A,LOT350
BF-009,Americas,quick_charge,5,15 minute charge gives 3 days of battery. Perfect for forgetful owners.,external,2024-11-09,V2-PROTO-A,LOT350
BF-010,Americas,durability,5,Drop tested from 6 feet onto concrete - not a scratch. Very durable.,internal,2024-11-10,V2-PROTO-A,LOT350
BF-011,EMEA,extended_battery,3,Battery better than V1 but still only getting 8-9 days in humid conditions.,external,2024-11-01,V2-PROTO-B,LOT351
BF-012,EMEA,extended_battery,3,Improvement over V1 but not as dramatic as advertised. Maybe 10 days max.,external,2024-11-02,V2-PROTO-B,LOT351
BF-013,EMEA,moisture_resistance,4,Better water resistance but had minor condensation inside after rain.,external,2024-11-03,V2-PROTO-B,LOT351
BF-014,EMEA,gps_accuracy,3,GPS works but takes longer to lock in European cities. Need optimization.,external,2024-11-04,V2-PROTO-B,LOT351
BF-015,EMEA,app_redesign,4,App looks good but localization for German/French is incomplete.,external,2024-11-05,V2-PROTO-B,LOT351
BF-016,EMEA,health_monitoring,3,Sensors seem less accurate in cold weather. Needs calibration.,external,2024-11-06,V2-PROTO-B,LOT351
BF-017,EMEA,extended_battery,3,Battery drain faster than expected in UK winter conditions.,internal,2024-11-07,V2-PROTO-B,LOT351
BF-018,EMEA,moisture_resistance,3,Some moisture warnings appearing during heavy rainfall testing.,internal,2024-11-08,V2-PROTO-B,LOT351
BF-019,EMEA,quick_charge,4,Quick charge works but slightly slower than spec in 230V regions.,external,2024-11-09,V2-PROTO-B,LOT351
BF-020,EMEA,durability,4,Good durability but strap material feels different from US version.,internal,2024-11-10,V2-PROTO-B,LOT351
BF-021,APAC,extended_battery,4,Battery life solid at 11-12 days. Good improvement over V1.,external,2024-11-01,V2-PROTO-C,LOT352
BF-022,APAC,extended_battery,4,Happy with battery but high humidity in Singapore affects it slightly.,external,2024-11-02,V2-PROTO-C,LOT352
BF-023,APAC,moisture_resistance,4,Monsoon season test passed. Minor concerns in extreme humidity.,external,2024-11-03,V2-PROTO-C,LOT352
BF-024,APAC,gps_accuracy,4,GPS good in major cities. Rural coverage in some countries limited.,external,2024-11-04,V2-PROTO-C,LOT352
BF-025,APAC,app_redesign,3,Need Japanese and Korean language support. Chinese simplified available.,external,2024-11-05,V2-PROTO-C,LOT352
BF-026,APAC,health_monitoring,4,Sensors work well in tropical climate. Impressed with accuracy.,external,2024-11-06,V2-PROTO-C,LOT352
BF-027,APAC,extended_battery,4,Consistent 12 day battery in Australian testing conditions.,internal,2024-11-07,V2-PROTO-C,LOT352
BF-028,APAC,moisture_resistance,4,Handled Tokyo rainy season well. Minor firmware adjustment needed.,internal,2024-11-08,V2-PROTO-C,LOT352
BF-029,APAC,quick_charge,4,Quick charge effective. Regional power adapter compatibility verified.,external,2024-11-09,V2-PROTO-C,LOT352
