POST_ID,PLATFORM,DATE_POSTED,CONTENT_TYPE,POST_CONTENT,HASHTAGS,ENGAGEMENT_RATE,IMPRESSIONS,REACHES,LIKES,COMMENTS,SHARES,CLICKS,CONVERSIONS,REVENUE
SM001,Instagram,2024-01-15,Product Showcase,"Meet Max, the adventurous Golden Retriever who was found in just 2 hours thanks to his PetTracker! 🐕📍 #PetSafety #GPS #PawCore","#PetSafety #GPS #PawCore #PetTracker #DogLife",4.2,15000,12000,504,67,89,234,12,2400
SM002,Facebook,2024-01-16,Educational,"Did you know? 1 in 3 pets will get lost at least once in their lifetime. Keep your furry friend safe with PetTracker GPS technology! 🐾 #PetSafety #GPS #PawCore","#PetSafety #GPS #PawCore #PetTracker #PetCare",3.8,25000,18000,684,45,123,189,18,3600
SM003,Twitter,2024-01-17,Testimonial,"'The HealthMonitor saved my cat's life! Detected an irregular heartbeat and alerted me immediately.' - Lisa R. #PetHealth #PawCore","#PetHealth #PawCore #HealthMonitor #PetCare #VetTech",5.1,8000,6500,331,28,56,78,8,1600
SM004,Instagram,2024-01-18,Behind the Scenes,"Behind the scenes at PawCore Systems! Our team working on the next generation of pet wellness technology. 🧪🔬 #Innovation #PetTech #PawCore","#Innovation #PetTech #PawCore #BehindTheScenes #Startup",2.9,12000,9000,261,23,34,45,5,1000
SM005,Facebook,2024-01-19,Product Demo,"Watch how easy it is to set up your PetTracker! Just attach, sync, and you're ready to go! 📱🐕 #EasySetup #PetTracker #PawCore","#EasySetup #PetTracker #PawCore #PetSafety #HowTo",4.7,30000,22000,1034,89,156,234,25,5000
SM006,Instagram,2024-01-20,Customer Story,"Sarah's story: 'Max escaped during a thunderstorm, but thanks to PetTracker, I found him safe and sound in just 2 hours!' ❤️ #PetStories #PawCore","#PetStories #PawCore #PetTracker #PetSafety #DogLife",6.2,18000,14000,868,112,178,245,31,6200
SM007,Twitter,2024-01-21,Industry News,"Breaking: Pet wellness technology market expected to reach $5.2B by 2026! PawCore Systems leading the innovation charge! 📈 #PetTech #MarketGrowth #PawCore","#PetTech #MarketGrowth #PawCore #Innovation #PetIndustry",3.4,15000,12000,408,34,67,89,12,2400
SM008,Instagram,2024-01-22,Product Feature,"SmartCollar's LED lights make night walks safer for both you and your pet! ✨🐕 #NightWalks #SmartCollar #PawCore","#NightWalks #SmartCollar #PawCore #PetSafety #LED",4.8,16000,12500,600,48,92,134,19,3800
SM009,Facebook,2024-01-23,Educational,"Pet health tip: Regular monitoring can detect health issues early! HealthMonitor tracks vital signs 24/7. 🏥🐾 #PetHealth #HealthMonitor #PawCore","#PetHealth #HealthMonitor #PawCore #PetCare #VetTech",4.1,28000,20000,820,56,134,167,22,4400
SM010,Instagram,2024-01-24,User Generated,"Love seeing our customers share their PetTracker success stories! Tag us in your posts! 📸🐕 #CustomerLove #PetTracker #PawCore","#CustomerLove #PetTracker #PawCore #UserGenerated #PetStories",5.5,14000,11000,605,78,123,167,28,5600
SM011,Twitter,2024-01-25,Product Update,"New firmware update available for PetTracker! Improved GPS accuracy and extended battery life. Update now! 🔄 #Update #PetTracker #PawCore","#Update #PetTracker #PawCore #Firmware #TechUpdate",3.7,12000,9500,351,29,45,67,9,1800
SM012,Instagram,2024-01-26,Training Tip,"Training tip: Use SmartCollar's vibration feature to reinforce positive behavior! Much gentler than traditional methods. 🎯 #Training #SmartCollar #PawCore","#Training #SmartCollar #PawCore #PetTraining #PositiveReinforcement",4.3,17000,13000,731,62,98,145,24,4800
